Game version:1.4.0
Size:55:25
Fill:14
//Plants
//type, xPosition, yPosition, growingStage, growingTicks
0,48,11,4,n
0,48,12,4,n
0,48,13,4,n
0,48,12,5,n
0,48,12,7,n
0,48,12,6,n
0,48,12,8,n
0,48,12,10,n
0,48,12,9,n
0,48,12,11,n
0,48,12,13,n
0,48,12,12,n
0,48,12,14,n
0,48,12,15,n
0,48,12,17,n
0,48,12,16,n
0,48,14,4,n
0,48,15,4,n
0,48,17,4,n
0,48,16,4,n
0,48,18,5,n
0,48,19,6,n
0,48,20,7,n
0,48,21,7,n
0,48,22,7,n
0,48,24,7,n
0,48,23,7,n
0,48,25,7,n
0,48,27,7,n
0,48,26,7,n
0,48,28,7,n
0,48,29,7,n
0,48,30,7,n
0,48,32,7,n
0,48,31,7,n
0,48,33,7,n
0,48,34,7,n
0,48,35,7,n
0,47,12,18,n
0,47,17,22,n
0,47,22,25,n
0,47,22,24,n
0,48,18,22,n
0,48,19,22,n
0,48,21,22,n
0,48,12,19,n
0,48,12,21,n
0,48,14,22,n
0,48,15,22,n
0,48,36,7,n
0,48,37,7,n
0,48,39,7,n
0,48,38,7,n
0,48,40,7,n
0,47,41,8,n
0,48,42,9,n
0,48,43,10,n
0,48,45,11,n
0,48,46,11,n
0,48,47,11,n
0,48,51,11,n
0,48,54,11,n
0,48,55,11,n
0,47,48,11,n
0,47,52,11,n
0,46,50,11,n
0,48,44,11,n
1,121,10,1,n
1,53,10,3,n
1,53,15,4,n
1,53,13,4,n
1,53,12,9,n
1,53,12,12,n
1,53,23,7,n
1,53,21,7,n
1,54,11,2,n
1,54,11,1,n
1,52,9,1,n
1,52,9,2,n
1,52,9,3,n
1,52,11,6,n
1,52,11,7,n
1,52,11,8,n
1,52,11,9,n
1,52,11,10,n
1,52,11,12,n
1,52,11,11,n
1,52,11,13,n
1,52,11,15,n
1,52,11,14,n
1,52,11,16,n
1,52,11,17,n
1,54,13,17,n
1,54,13,16,n
1,54,13,15,n
1,54,13,13,n
1,54,13,14,n
1,54,13,12,n
1,54,13,9,n
1,54,13,8,n
1,54,13,10,n
1,54,13,11,n
1,54,13,7,n
1,54,13,6,n
1,50,12,3,n
1,50,13,3,n
1,50,14,3,n
1,50,15,3,n
1,50,16,3,n
1,50,17,3,n
1,50,21,6,n
1,50,22,6,n
1,50,24,6,n
1,50,23,6,n
1,50,25,6,n
1,50,26,6,n
1,50,28,6,n
1,50,27,6,n
1,50,29,6,n
1,50,30,6,n
1,50,33,6,n
1,51,18,3,n
1,51,19,4,n
1,51,20,5,n
1,55,9,4,n
1,56,14,5,n
1,56,15,5,n
1,56,16,5,n
1,59,17,5,n
1,59,18,6,n
1,59,19,7,n
1,56,20,8,n
1,56,21,8,n
1,56,22,8,n
1,56,24,8,n
1,56,23,8,n
1,56,25,8,n
1,56,26,8,n
1,56,27,8,n
1,56,28,8,n
1,56,29,8,n
1,56,30,8,n
1,56,31,8,n
1,56,32,8,n
1,56,33,8,n
1,60,20,6,n
1,60,19,5,n
1,60,18,4,n
1,60,11,3,n
1,58,13,5,n
1,59,11,5,n
1,59,10,4,n
1,55,10,5,n
1,55,17,6,n
1,55,18,7,n
1,55,19,8,n
1,50,32,6,n
1,50,31,6,n
1,50,32,5,n
1,50,31,5,n
1,50,34,6,n
1,50,35,6,n
1,56,34,8,n
1,56,35,8,n
1,53,12,20,n
1,53,12,22,n
1,53,13,22,n
1,53,16,22,n
1,53,20,22,n
1,53,22,22,n
1,53,22,23,n
1,50,14,21,n
1,50,15,21,n
1,50,16,21,n
1,50,17,21,n
1,50,19,21,n
1,50,18,21,n
1,50,20,21,n
1,50,21,21,n
1,51,23,21,n
1,52,11,18,n
1,52,11,19,n
1,52,11,20,n
1,52,11,21,n
1,52,21,24,n
1,52,21,25,n
1,54,23,24,n
1,54,23,25,n
1,54,23,23,n
1,54,23,22,n
1,54,13,20,n
1,54,13,19,n
1,54,13,18,n
1,55,11,23,n
1,52,11,22,n
1,56,12,23,n
1,56,14,23,n
1,56,13,23,n
1,56,15,23,n
1,56,17,23,n
1,56,16,23,n
1,56,18,23,n
1,56,19,23,n
1,56,20,23,n
1,60,13,21,n
1,59,21,23,n
1,50,22,21,n
1,74,15,2,y
1,50,36,6,n
1,50,37,6,n
1,50,38,6,n
1,50,39,6,n
1,56,36,8,n
1,56,37,8,n
1,56,38,8,n
1,56,39,8,n
1,51,43,8,n
1,60,42,8,n
1,53,49,11,n
1,53,53,11,n
1,50,46,10,n
1,50,47,10,n
1,50,50,10,n
1,50,48,10,n
1,50,49,10,n
1,50,51,10,n
1,50,52,10,n
1,50,53,10,n
1,50,54,10,n
1,50,55,10,n
1,51,41,6,n
1,51,42,7,n
1,59,40,8,n
1,59,41,9,n
1,59,42,10,n
1,50,40,6,n
1,60,41,7,n
1,60,43,9,n
1,51,44,9,n
1,55,40,9,n
1,55,41,10,n
1,59,43,11,n
1,55,42,11,n
1,56,44,12,n
1,56,45,12,n
1,56,46,12,n
1,56,47,12,n
1,56,48,12,n
1,56,49,12,n
1,56,50,12,n
1,56,51,12,n
1,56,52,12,n
1,56,53,12,n
1,56,54,12,n
1,56,55,12,n
1,55,43,12,n
1,60,44,10,n
1,50,45,10,n
2,115,5,1,n
2,115,4,1,n
2,115,3,1,n
2,120,11,-1,n
2,120,12,-1,n
2,120,13,-1,n
2,120,14,-1,n
2,120,15,-1,n
2,120,16,-1,n
2,120,17,-1,n
2,120,18,-1,n
2,120,19,-1,n
2,120,8,-1,n
2,120,7,-1,n
2,120,6,-1,n
2,120,5,-1,n
2,120,4,-1,n
2,120,3,-1,n
2,120,2,-1,n
2,120,1,-1,n
2,120,0,-1,n
2,120,9,-1,n
2,115,1,1,n
2,115,2,1,n
2,115,6,1,n
2,115,7,1,n
2,115,8,1,n
2,115,9,1,n
2,115,11,1,n
2,115,12,1,n
2,115,13,1,n
2,115,14,1,n
2,115,16,1,n
2,115,17,1,n
2,115,15,1,n
2,115,18,1,n
2,116,19,1,n
2,114,0,1,n
2,93,-1,0,n
2,93,-1,1,n
2,93,-1,2,n
2,93,-1,4,n
2,93,-1,3,n
2,93,-1,5,n
2,93,-1,7,n
2,93,-1,6,n
2,93,-1,8,n
2,93,-1,9,n
2,93,-1,11,n
2,93,-1,10,n
2,93,-1,-1,n
2,93,-1,12,n
2,93,-1,13,n
2,93,-1,14,n
2,93,-1,16,n
2,93,-1,15,n
2,93,-1,18,n
2,93,-1,17,n
2,93,-1,20,n
2,93,-1,19,n
2,93,-1,21,n
2,93,-1,23,n
2,93,-1,22,n
2,93,-1,24,n
2,93,-1,26,n
2,93,-1,25,n
2,93,-1,27,n
2,93,-1,28,n
2,93,-1,29,n
2,93,-1,31,n
2,93,-1,30,n
2,93,-1,32,n
2,93,-1,33,n
2,93,-1,34,n
2,93,-1,35,n
2,93,-1,36,n
2,93,-1,38,n
2,93,-1,37,n
2,93,-1,39,n
2,93,-1,41,n
2,93,-1,40,n
2,93,-1,42,n
2,93,-1,43,n
2,93,-1,44,n
2,93,-1,45,n
2,93,-1,46,n
2,93,-1,47,n
2,93,-1,48,n
2,93,-1,49,n
2,89,-1,50,n
2,87,20,-1,n
2,91,21,-1,n
2,91,22,-1,n
2,95,23,-1,n
2,3,24,-1,n
2,4,26,-1,n
2,4,25,-1,n
2,4,27,-1,n
2,4,28,-1,n
2,4,29,-1,n
2,4,30,-1,n
2,4,31,-1,n
2,4,32,-1,n
2,4,33,-1,n
2,4,34,-1,n
2,4,35,-1,n
2,4,36,-1,n
2,4,38,-1,n
2,4,37,-1,n
2,4,39,-1,n
2,4,40,-1,n
2,4,41,-1,n
2,4,42,-1,n
2,4,43,-1,n
2,5,44,-1,n
2,87,45,-1,n
2,91,46,-1,n
2,91,47,-1,n
2,91,48,-1,n
2,91,49,-1,n
2,91,50,-1,n
2,91,51,-1,n
2,91,52,-1,n
2,91,53,-1,n
2,91,54,-1,n
2,90,55,-1,n
2,91,56,-1,n
2,91,57,-1,n
2,91,58,-1,n
2,91,59,-1,n
2,91,60,-1,n
2,91,61,-1,n
2,91,62,-1,n
2,91,63,-1,n
2,91,65,-1,n
2,91,64,-1,n
2,91,66,-1,n
2,91,67,-1,n
2,91,69,-1,n
2,91,68,-1,n
2,91,70,-1,n
2,91,72,-1,n
2,91,71,-1,n
2,91,73,-1,n
2,91,74,-1,n
2,91,75,-1,n
2,91,76,-1,n
2,91,77,-1,n
2,91,78,-1,n
2,91,79,-1,n
2,94,80,-1,n
2,94,80,0,n
2,85,80,1,n
2,85,80,2,n
2,85,80,3,n
2,85,80,4,n
2,85,80,5,n
2,85,80,6,n
2,85,80,7,n
2,85,80,8,n
2,85,80,10,n
2,85,80,9,n
2,85,80,11,n
2,85,80,12,n
2,85,80,13,n
2,85,80,14,n
2,85,80,15,n
2,85,80,16,n
2,85,80,17,n
2,85,80,18,n
2,85,80,19,n
2,85,80,20,n
2,85,80,21,n
2,85,80,22,n
2,85,80,23,n
2,85,80,24,n
2,85,80,25,n
2,85,80,26,n
2,85,80,28,n
2,85,80,27,n
2,85,80,29,n
2,85,80,30,n
2,85,80,31,n
2,85,80,32,n
2,85,80,33,n
2,85,80,34,n
2,85,80,36,n
2,85,80,35,n
2,85,80,37,n
2,85,80,38,n
2,85,80,39,n
2,85,80,41,n
2,85,80,40,n
2,85,80,42,n
2,85,80,43,n
2,85,80,44,n
2,85,80,45,n
2,85,80,46,n
2,85,80,47,n
2,85,80,48,n
2,85,80,49,n
2,90,80,50,n
2,4,25,1,n
2,10,25,2,n
2,10,27,4,n
2,10,26,3,n
2,79,29,4,n
2,4,28,4,n
2,4,31,4,n
2,4,32,4,n
2,7,34,5,n
2,9,36,4,n
2,9,37,3,n
2,4,39,1,n
2,78,41,1,n
2,9,38,2,n
2,4,40,1,n
2,4,42,0,n
2,4,43,1,n
2,4,42,1,n
2,4,43,0,n
2,4,25,0,n
2,4,26,0,n
2,77,26,1,n
2,4,26,2,n
2,4,27,2,n
2,4,27,3,n
2,4,28,0,n
2,78,27,0,n
2,4,27,1,n
2,4,28,1,n
2,4,28,2,n
2,4,29,3,n
2,78,28,3,n
2,4,30,4,n
2,4,33,4,n
2,7,35,5,n
2,4,35,4,n
2,4,34,4,n
2,4,29,0,n
2,4,29,1,n
2,4,29,2,n
2,79,30,0,n
2,4,30,2,n
2,4,30,3,n
2,4,30,1,n
2,4,31,0,n
2,77,31,1,n
2,4,31,3,n
2,4,31,2,n
2,4,32,3,n
2,4,32,2,n
2,4,32,0,n
2,4,33,0,n
2,4,32,1,n
2,4,33,1,n
2,4,33,2,n
2,77,33,3,n
2,4,34,3,n
2,4,35,3,n
2,4,36,3,n
2,4,37,2,n
2,4,36,2,n
2,4,34,2,n
2,4,35,2,n
2,4,34,1,n
2,79,34,0,n
2,4,35,0,n
2,4,35,1,n
2,4,36,1,n
2,78,36,0,n
2,4,37,0,n
2,4,37,1,n
2,4,38,1,n
2,4,38,0,n
2,77,39,0,n
2,4,40,0,n
2,4,41,0,n
2,3,24,1,n
2,3,24,0,n
2,6,24,2,n
2,6,25,3,n
2,6,26,4,n
2,7,33,5,n
2,7,28,5,n
2,7,30,5,n
2,7,29,5,n
2,7,31,5,n
2,7,32,5,n
2,8,44,2,n
2,7,40,2,n
2,7,41,2,n
2,7,43,2,n
2,7,42,2,n
2,5,44,1,n
2,5,44,0,n
2,6,27,5,n
2,8,36,5,n
2,7,39,2,n
2,8,37,4,n
2,8,38,3,n
2,85,55,0,n
2,85,55,1,n
2,85,55,2,n
2,85,55,3,n
2,85,55,4,n
2,85,55,5,n
2,85,55,6,n
2,85,55,8,n
2,85,55,9,n
2,87,55,10,n
2,85,55,13,n
2,85,55,15,n
2,85,55,16,n
2,85,55,14,n
2,85,55,17,n
2,85,55,18,n
2,85,55,19,n
2,85,55,20,n
2,85,55,21,n
2,85,55,22,n
2,85,55,23,n
2,85,55,24,n
2,89,55,25,n
2,82,27,25,n
2,89,17,25,n
2,81,17,17,n
2,81,17,18,n
2,95,17,20,n
2,82,17,19,n
2,91,18,18,n
2,91,19,18,n
2,91,20,18,n
2,91,21,18,n
2,91,22,18,n
2,91,23,18,n
2,91,24,18,n
2,91,25,18,n
2,91,26,18,n
2,81,27,18,n
2,81,27,19,n
2,93,27,20,n
2,93,27,17,n
2,81,27,24,n
2,81,27,23,n
2,81,27,22,n
2,81,27,21,n
2,90,18,17,n
2,90,19,17,n
2,90,20,17,n
2,90,21,17,n
2,90,23,17,n
2,90,22,17,n
2,90,24,17,n
2,90,25,17,n
2,90,26,17,n
2,87,14,20,n
2,82,14,19,n
2,90,15,19,n
2,90,16,19,n
2,91,15,20,n
2,91,16,20,n
2,85,55,7,n
3,88,0,50,n
3,88,1,50,n
3,88,2,50,n
3,88,3,50,n
3,88,4,50,n
3,88,5,50,n
3,88,6,50,n
3,88,7,50,n
3,88,8,50,n
3,88,9,50,n
3,88,10,50,n
3,88,11,50,n
3,88,12,50,n
3,88,13,50,n
3,88,14,50,n
3,88,15,50,n
3,88,16,50,n
3,88,17,50,n
3,88,18,50,n
3,88,19,50,n
3,88,21,50,n
3,88,20,50,n
3,88,22,50,n
3,88,24,50,n
3,88,23,50,n
3,88,25,50,n
3,88,27,50,n
3,88,26,50,n
3,88,28,50,n
3,88,29,50,n
3,88,31,50,n
3,88,32,50,n
3,88,30,50,n
3,88,33,50,n
3,88,34,50,n
3,88,35,50,n
3,88,36,50,n
3,88,37,50,n
3,88,38,50,n
3,88,39,50,n
3,88,40,50,n
3,88,41,50,n
3,88,42,50,n
3,88,43,50,n
3,88,44,50,n
3,88,45,50,n
3,88,46,50,n
3,88,47,50,n
3,88,48,50,n
3,88,49,50,n
3,88,50,50,n
3,88,51,50,n
3,88,52,50,n
3,88,53,50,n
3,88,54,50,n
3,88,55,50,n
3,88,56,50,n
3,88,57,50,n
3,88,58,50,n
3,88,59,50,n
3,88,60,50,n
3,88,61,50,n
3,88,62,50,n
3,88,63,50,n
3,88,64,50,n
3,88,65,50,n
3,88,66,50,n
3,88,67,50,n
3,88,68,50,n
3,88,69,50,n
3,88,70,50,n
3,88,71,50,n
3,88,72,50,n
3,88,73,50,n
3,88,74,50,n
3,88,75,50,n
3,88,76,50,n
3,88,77,50,n
3,88,78,50,n
3,88,79,50,n
3,84,55,12,n
3,88,54,25,n
3,88,53,25,n
3,88,52,25,n
3,88,51,25,n
3,88,50,25,n
3,88,49,25,n
3,88,47,25,n
3,88,46,25,n
3,88,48,25,n
3,88,44,25,n
3,88,45,25,n
3,88,43,25,n
3,88,42,25,n
3,88,41,25,n
3,88,40,25,n
3,88,39,25,n
3,88,38,25,n
3,88,37,25,n
3,88,36,25,n
3,88,35,25,n
3,88,33,25,n
3,88,34,25,n
3,88,32,25,n
3,88,31,25,n
3,88,30,25,n
3,88,29,25,n
3,88,28,25,n
3,88,25,25,n
3,88,24,25,n
3,88,26,25,n
3,88,23,25,n
3,88,21,25,n
3,88,20,25,n
3,88,19,25,n
3,88,18,25,n
3,88,16,25,n
3,88,15,25,n
3,88,14,25,n
3,88,13,25,n
3,88,12,25,n
3,88,11,25,n
3,88,10,25,n
3,88,9,25,n
3,88,8,25,n
3,88,6,25,n
3,88,7,25,n
3,88,5,25,n
3,88,4,25,n
3,88,3,25,n
3,88,1,25,n
3,88,2,25,n
3,88,0,25,n
3,84,17,16,n
3,92,27,16,n
3,88,18,16,n
3,88,19,16,n
3,88,20,16,n
3,88,21,16,n
3,88,22,16,n
3,88,23,16,n
3,88,24,16,n
3,88,25,16,n
3,88,26,16,n
3,80,17,24,n
3,84,14,18,n
3,88,15,18,n
3,88,16,18,n
3,135,10,-1,n
